step,loss,lr,norm,dt_ms,tok_sec,val_loss
0,11.957113265991211,6.00000024e-05,5.609287738800049,42655.086278915405,192.05212589264744,11.937573432922363
1,11.968274116516113,0.0001200000018,5.941742897033691,82757.04860687256,98.98854705313519,0.0
2,10.175283432006836,0.00018000000120000002,15.038230895996094,475.7504463195801,17219.11153919783,0.0
3,11.74792194366455,0.00024000000060000004,12.778249740600586,473.1149673461914,17315.03031060458,0.0
4,10.381199836730957,0.0003,26.04133415222168,473.4013080596924,17304.55717069343,0.0
5,9.683917999267578,0.0002999915793024878,8.73306941986084,472.37372398376465,17342.2008551042,0.0
6,9.146028518676758,0.0002999663181649432,6.6781768798828125,468.7848091125488,17474.968985253985,0.0
7,8.651132583618164,0.0002999242194522335,9.889606475830078,469.3758487701416,17452.964445155572,0.0
8,8.298552513122559,0.0002998652879387765,9.3400239944458,471.50182723999023,17374.26988979694,0.0
9,7.714663028717041,0.00029978953030799913,6.759807109832764,471.5704917907715,17371.740052884106,0.0
10,7.483852386474609,0.0002996969551515794,5.215135097503662,467.59533882141113,17519.421858755468,7.059442043304443
11,7.182135581970215,0.0002995875729684721,5.072229862213135,3305.4115772247314,2478.360049455056,0.0
12,6.890404224395752,0.000299461396163718,3.2646358013153076,472.90802001953125,17322.607469549086,0.0
13,6.925239086151123,0.000299318439047037,7.668478488922119,471.15468978881836,17387.070908010763,0.0
14,7.7038655281066895,0.0002991587178312053,9.177238464355469,472.5310802459717,17336.42577697901,0.0
15,6.978431224822998,0.0002989822506302169,12.346104621887207,477.9996871948242,17138.086529042193,0.0
16,6.914486885070801,0.00029878905745722885,9.001348495483398,471.42934799194336,17376.941072705555,0.0
17,6.781866073608398,0.0002985791602222921,4.734728813171387,466.7203426361084,17552.26685370156,0.0
18,6.643664360046387,0.0002983525827298661,4.038782119750977,466.80235862731934,17549.182964904943,0.0
19,6.623764991760254,0.00029810935067611956,2.7858853340148926,466.1750793457031,17572.796923202815,0.0
20,7.624815940856934,0.0002978494916460162,14.935187339782715,468.9626693725586,17468.341373441006,6.583853721618652
21,6.604013442993164,0.0002975730351101861,6.457208633422852,3205.235481262207,2555.8184563631585,0.0
22,6.729404926300049,0.0002972800124215837,4.220965385437012,471.82536125183105,17362.356229146444,0.0
