step,loss,lr,norm,dt_ms,tok_sec,val_loss
0,380.1566162109375,0.00029989591989249757,323.15972900390625,41573.95148277283,12610.973489427663,113.35953521728516
1,111.58149719238281,0.0002995838400539723,919.88330078125,192483.6344718933,2723.805592295989,95.96221160888672
2,96.9677505493164,0.0002990642416889151,480.8218688964844,179124.64785575867,2926.945042327098,94.8138427734375
3,95.02630615234375,0.0002983379259803437,443.7313232421875,177579.81061935425,2952.4076986646946,106.31624603271484
4,105.15486907958984,0.0002974060128544362,478.8975830078125,179497.3132610321,2920.868231813362,97.95620727539062
5,101.46574401855469,0.0002962699392536865,212.2709503173828,175247.20335006714,2991.7053737668057,97.42522430419922
6,97.90261840820312,0.0002949314569212426,339.3403625488281,175680.85432052612,2984.3206422678663,88.86666870117188
7,92.24751281738281,0.00029339262969984604,197.6616668701172,177225.93069076538,2958.3029862306644,82.04458618164062
8,85.96761322021484,0.0002916558303495357,190.42904663085938,182537.81294822693,2872.215852332489,73.69535827636719
9,78.74018859863281,0.00028972373688902406,150.07147216796875,182668.65348815918,2870.158562996059,65.92150115966797
10,71.2188491821289,0.0002875993284663864,156.9306182861328,181279.26182746887,2892.15652532272,68.11524963378906
11,68.77456665039062,0.00028528588076543013,340.97650146484375,182318.1757926941,2875.6759863379975,60.40854263305664
12,65.20950317382812,0.0002827869609548281,162.11279296875,179606.125831604,2919.098653080266,55.459022521972656
13,63.114864349365234,0.00028010642218780296,112.00904846191406,180246.5159893036,2908.727511998695,50.89828872680664
14,59.54349136352539,0.00027724839766084415,84.66796875,182526.7539024353,2872.389875953439,60.94521713256836
15,61.4926872253418,0.0002742172942406184,343.3135681152344,180801.20611190796,2899.803664337775,53.74943161010742
16,57.5189323425293,0.00027101778566890106,173.46958923339844,177214.11657333374,2958.5002038087755,53.13283920288086
17,58.303192138671875,0.0002676548053560047,156.2592315673828,176978.75380516052,2962.434691890752,48.20159912109375
18,56.703617095947266,0.00026413353877381804,90.17186737060547,180756.74271583557,2900.5169717194103,54.02842712402344
19,56.422203063964844,0.00026045941546018437,194.2194061279297,180048.06399345398,2911.933560246788,47.20928955078125
20,55.11103820800781,0.0002566381006469476,75.31517791748047,175276.8223285675,2991.199823426676,44.625648498535156
21,53.22552490234375,0.00025267548652457524,48.54816818237305,174683.67171287537,3001.3566514777835,49.60115051269531
22,53.209964752197266,0.000248577683156828,137.15872192382812,174991.40286445618,2996.078615394037,46.195133209228516
23,51.733665466308594,0.0002443510090594843,99.28800964355469,175213.80257606506,2992.2756785807005,42.36186981201172
24,51.02412033081055,0.00024000198145764673,71.98545837402344,175217.98729896545,2992.2042142022456,46.36843490600586
25,50.373443603515625,0.0002355373062366535,87.4367904663086,177319.3175792694,2956.744968103211,41.903282165527344
26,49.753849029541016,0.00023096386760208936,70.94539642333984,175613.49296569824,2985.465360013121,40.61403274536133
27,48.281375885009766,0.00022628871746483922,46.61125946044922,176111.85574531555,2977.0170655529287,44.83808898925781
28,48.15608596801758,0.0002215190645675532,126.59855651855469,177021.94237709045,2961.711937852126,41.385433197021484
29,47.05683517456055,0.0002166622633692875,100.44091796875,177469.8359966278,2954.2372485764977,44.16032409667969
30,47.665523529052734,0.00021172580270546192,157.50856018066406,177893.66173744202,2947.1988764490698,39.22892761230469
31,46.59108352661133,0.00020671729424061826,80.19950866699219,175913.31267356873,2980.377050672045,42.602455139160156
32,46.087135314941406,0.00020164446073178536,108.31416320800781,177319.80538368225,2956.7368341373517,37.739837646484375
33,45.472164154052734,0.00019651512412054758,51.04036331176758,176748.5649585724,2966.2928246285137,36.694942474365234
34,44.57575225830078,0.00019133719347217765,40.758541107177734,176191.22576713562,2975.675989069563,40.6605110168457
35,44.43412780761719,0.0001861186527804315,108.09757232666016,176085.13474464417,2977.4688292700803,38.97086715698242
36,43.77081298828125,0.0001808675486568084,100.4500503540039,177930.03869056702,2946.596335606795,39.16796112060547
37,44.0742301940918,0.00017559197792325939,105.67981719970703,180045.75061798096,2911.9709751574665,36.12385559082031
38,43.39251708984375,0.00017030007512747457,43.54742431640625,182225.42023658752,2877.1397498730125,40.518497467041016
39,43.38869857788086,0.0001650000000000003,131.40652465820312,189962.28551864624,2759.958370518432,36.052650451660156
40,42.61559295654297,0.00015969992487252605,47.3974494934082,177703.9337158203,2950.3454934116894,32.84660720825195
41,42.04323196411133,0.0001544080220767412,54.225799560546875,178431.4215183258,2938.3165562358813,35.05539321899414
42,41.09894943237305,0.00014913245134319219,31.010242462158203,182541.04614257812,2872.164979215097,36.47578811645508
43,41.36713790893555,0.00014388134721956912,102.10641479492188,181075.08826255798,2895.417613933646,38.312950134277344
44,42.04837417602539,0.00013866280652782294,154.08697509765625,177870.03540992737,2947.5903504022026,34.96897888183594
45,40.638301849365234,0.00013348487587945302,72.76907348632812,180589.5471572876,2903.202362777743,33.8310546875
46,40.310386657714844,0.00012835553926821518,55.444705963134766,239920.95589637756,2185.253047367989,34.4566535949707
47,40.228240966796875,0.0001232827057593823,37.195369720458984,275748.27432632446,1901.3283085120963,32.47077941894531
48,39.761775970458984,0.00011827419729453867,43.82273483276367,302284.11078453064,1734.4212986891482,34.29242706298828
49,39.3814697265625,0.00011333773663071307,39.331146240234375,262979.7189235687,1993.6442328937799,31.836984634399414
50,38.943294525146484,0.00010848093543244742,38.662025451660156,301853.00612449646,1736.8983888262565,33.106929779052734
51,38.67615509033203,0.00010371128253516136,65.25758361816406,263307.03806877136,1991.1659173465193,33.26613998413086
52,38.58475112915039,9.903613239791123e-05,76.5643081665039,236606.42862319946,2215.865405901288,32.41803741455078
53,38.083683013916016,9.446269376334707e-05,37.50672149658203,259232.12671279907,2022.4653735948937,31.19416618347168
54,37.89091110229492,8.999801854235384e-05,37.48151397705078,218099.42841529846,2403.8944247101203,32.78557586669922
55,37.444095611572266,8.564899094051628e-05,40.198177337646484,153805.49502372742,3408.772878492531,30.094192504882812
56,37.311283111572266,8.142231684317257e-05,41.77722930908203,146795.04585266113,3571.5646734170464,30.717571258544922
57,37.06242752075195,7.732451347542534e-05,26.882102966308594,143558.0816268921,3652.0967266937027,32.92655944824219
58,36.972938537597656,7.336189935305301e-05,82.46900939941406,143436.7265701294,3655.186593676648,31.265012741088867
59,36.89527893066406,6.95405845398162e-05,85.21290588378906,143290.45367240906,3658.9178592359567,29.581317901611328
60,36.47900390625,6.586646122618254e-05,41.93975830078125,143483.8366508484,3653.9864854310754,31.263256072998047
61,36.231929779052734,6.234519464399591e-05,29.173933029174805,145198.50659370422,3610.8360361244445,30.192506790161133
62,35.948673248291016,5.898221433109951e-05,24.314224243164062,143919.14319992065,3642.9344168044563,30.57554054260254
63,35.90504837036133,5.578270575938218e-05,23.5294246673584,143218.94478797913,3660.7447483721817,29.421476364135742
64,35.44716262817383,5.275160233915648e-05,23.592679977416992,143555.66811561584,3652.158127101973,30.568639755249023
65,35.44410705566406,4.98935778121976e-05,46.9916877746582,143454.63752746582,3654.730227174565,29.921253204345703
66,35.097843170166016,4.721303904517245e-05,25.66935920715332,143685.59980392456,3648.855561833969,28.62265396118164
67,35.056121826171875,4.471411923457038e-05,30.35099983215332,143117.98787117004,3663.327075782719,30.077302932739258
68,34.76890563964844,4.240067153361404e-05,30.86931610107422,143774.77598190308,3646.5923623904105,28.956872940063477
69,34.7783203125,4.027626311097631e-05,24.107152938842773,143245.56589126587,3660.06442669209,29.186922073364258
70,34.507720947265625,3.8344169650464654e-05,17.63070297241211,141987.5512123108,3692.4927257604713,29.500864028930664
71,34.305721282958984,3.6607370300154286e-05,31.95228385925293,144954.98824119568,3616.902090513911,28.865966796875
72,34.31172561645508,3.506854307875764e-05,36.63486099243164,143658.40554237366,3649.5462832166504,28.896503448486328
73,34.06683349609375,3.373006074631367e-05,18.841230392456055,141495.86391448975,3705.3238553802757,29.69622230529785
74,33.96758270263672,3.25939871455639e-05,40.20332717895508,143823.28414916992,3645.362453663772,28.193374633789062
75,33.83195877075195,3.166207401965642e-05,22.34364891052246,145051.25665664673,3614.501605050213,28.365236282348633
76,33.727989196777344,3.0935758311084954e-05,20.37584114074707,143507.16471672058,3653.3925050706066,29.05513572692871
77,33.575439453125,3.0416159946027724e-05,33.43975830078125,143225.66509246826,3660.5729822341073,27.881898880004883
78,33.47945022583008,3.0104080107502407e-05,37.831233978271484,145418.32327842712,3605.3778380882923,27.89809226989746
79,33.526432037353516,2.9999999999999997e-05,23.36886215209961,159149.58691596985,3294.3095245155823,29.05329704284668
